team_name,conference,w,l,adj_em,adj_o,adj_d,adj_tempo,luck,sos_adj_em,sos_adj_o,sos_adj_d,ncsos_adj_em
UNC Asheville,BSth,15,17,-6.75,104.7,111.4,64.8,-0.016,-3.75,107.9,111.7,1.08
Coastal Carolina,SB,19,13,-6.86,101.8,108.6,66.8,0.132,-4.97,106.8,111.8,-2.17
Old Dominion,SB,12,21,-7,106,113,68.9,-0.073,-3.06,108.2,111.3,4.64
Colgate,PL,18,15,-7.02,107.7,114.7,66.8,0.044,-6.94,106.2,113.1,5.23
Idaho St.,BSky,13,20,-7.08,109.5,116.6,65.5,-0.035,-0.68,109,109.6,3.35
Southern Utah,WAC,10,22,-7.14,106.5,113.7,70.2,-0.053,2.11,108.6,106.5,5.73
Princeton,Ivy,9,20,-7.15,105.4,112.6,63.5,-0.077,-0.95,109,109.9,-0.6
Wofford,SC,19,13,-7.35,109.1,116.5,67.8,0.073,-7.63,107.9,115.5,-4.39
East Carolina,Amer,11,20,-7.43,103.6,111,68.6,-0.006,-0.53,109.5,110.1,-3
Saint Peter's,MAAC,17,12,-7.51,103,110.5,65.5,0.066,-8.04,103.9,112,-1.06
SIUE,OVC,19,13,-7.59,99.5,107.1,64.3,-0.007,-10.8,102.3,113.1,-7.81
Radford,BSth,16,16,-7.67,106.3,113.9,70.6,-0.036,-7.17,105.8,113,-6.45
UC Riverside,BW,10,22,-7.69,104,111.7,68.4,-0.048,1.54,109.4,107.8,6.45
Iona,MAAC,18,14,-7.72,104,111.7,68.7,0.041,-8.69,103.9,112.5,-3.13
Purdue Fort Wayne,Horz,17,15,-7.83,105.3,113.2,67.6,0.118,-1.78,110.4,112.2,7.7
Boston University,PL,17,17,-8,111.8,119.8,63.1,-0.022,-8.53,104.2,112.8,-4.89
Nebraska Omaha,Sum,16,17,-8.01,106.1,114.1,67,0.033,-2.81,108.6,111.4,3.1
Fairfield,MAAC,21,13,-8.1,105.8,113.9,66.9,0.078,-9.63,102.8,112.4,-8.69
Pepperdine,WCC,9,23,-8.15,105.2,113.4,68.6,-0.018,2.93,110.2,107.2,-2.25
Sacramento St.,BSky,10,21,-8.3,105.9,114.2,71.6,-0.022,1.43,110.5,109.1,8.9
Incarnate Word,Slnd,12,19,-8.49,108.8,117.3,65.5,-0.028,-1.51,107.4,108.9,6.67
Lindenwood,OVC,18,15,-8.51,100.5,109,72.4,0.017,-8.87,103.1,111.9,1.95
Milwaukee,Horz,12,20,-8.85,106.5,115.3,67.3,0.013,-1.65,110.4,112,6.37
Central Michigan,MAC,10,21,-9.04,105.9,115,67.1,-0.098,-1.6,108.3,109.9,1.44
Presbyterian,BSth,15,18,-9.07,103.2,112.2,64.1,-0.02,-4.93,107,111.9,-2.02
